Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
PML	promyelocytic leukemia	Tripartite motif-containing|Ring finger proteins	c("Transcription regulator activity (GO:0030528)", "Transporter activity (GO:0005215)")	transcription factor	BBOX, RING	nucleus; nucleolus; chromatin; cytosol; cytoskeleton; actin; endoplasmic reticulum; endosome	endolysosome.system
PMM1	phosphomannomutase 1	HAD Asp-based non-protein phosphatases	Catalytic activity (GO:0003824)	undefined	undefined	cytosol	undefined
PMM2	phosphomannomutase 2	HAD Asp-based non-protein phosphatases	Catalytic activity (GO:0003824)	undefined	undefined	cytosol	plasma.membrane
PMP2	peripheral myelin protein 2	Fatty acid binding protein family	Transporter activity (GO:0005215)	undefined	undefined	undefined	plasma.membrane
PMP22	peripheral myelin protein 22	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane	plasma.membrane
PMPCA	peptidase (mitochondrial processing) alpha	undefined	Peptidase activity (GO:0008233)	undefined	undefined	mitochondria	plasma.membrane
PMPCB	peptidase (mitochondrial processing) beta	undefined	Peptidase activity (GO:0008233)	undefined	undefined	undefined	undefined
PMS1	PMS1 homolog 1, mismatch repair system component	MutL homologs	DNA repair protein (GO:0003685)	undefined	HMG	nucleus	nucleus
PMS2	PMS1 homolog 2, mismatch repair system component	MutL homologs	DNA repair protein (GO:0003685)	undefined	undefined	nucleus; cytoskeleton; microtubules	cytoskeleton
PMS2L11	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PMS2L2	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PMS2L3	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	KRAB	undefined	undefined
PMS2L5	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PMS2L8	undefined	undefined	DNA repair protein (GO:0003685)	undefined	undefined	undefined	undefined
PMVK	phosphomevalonate kinase	undefined	Lipid kinase activity (GO:0001727)	undefined	undefined	cytosol	plasma.membrane
PNCK	pregnancy up-regulated nonubiquitous CaM kinase	undefined	Molecular function unknown (GO:0005554)	kinase	S_T_kinase	undefined	undefined
PNISR	PNN-interacting serine/arginine-rich protein	undefined	undefined	undefined	undefined	nucleus	nucleus
PNKD	paroxysmal nonkinesigenic dyskinesia	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	TM	nucleus	nucleus
PNKP	polynucleotide kinase 3-phosphatase, Approved,PNK,19q13.33, AF126486, NM_007254, HAD Asp-based non-protein phosphatases, 21185, PNLDC1, PARN like, ribonuclease domain containing 1, Approved,FLJ40240, dJ195P10.2,6q25.3, AK097559, NM_173516,9155, PNLIP, pancreatic lipase, Approved,PL,10q25.3, BC014309, NM_000936, Lipases, 9156, PNLIPRP1, pancreatic lipase-related protein 1, Approved,PLRP1,10q26.12, BC025784, NM_006229,9157, PNLIPRP2, pancreatic lipase-related protein 2, Approved,PLRP2,10q25.3, M93284, NM_005396, Lipases, 23492, PNLIPRP3, pancreatic lipase-related protein 3, Approved,,10q26.12, BC015840, XM_058404, Lipases, 9158, PNMA1, paraneoplastic Ma antigen 1, Approved,MA1,14q24.3, AF037364, NM_006029, Paraneoplastic Ma antigens, 9159, PNMA2, paraneoplastic Ma antigen 2, Approved,MA2, RGAG2,8p21.1,NM_007257, Paraneoplastic Ma antigens, 18742, PNMA3, paraneoplastic Ma antigen 3, Approved,MA5, MA3, MGC132756, MGC132758, "paraneoplastic cancer-testis-brain antigen", Xq28, AF083116, NM_013364, Paraneoplastic Ma antigens, 18743, PNMA5, paraneoplastic Ma antigen family member 5, Approved,KIAA1934, "paraneoplastic antigen family 5", Xq28, AB067521, NM_052926, Paraneoplastic Ma antigens, 28248, PNMA6A, paraneoplastic Ma antigen family member 6A, PNMA6C, MGC15827,Xq28, AK055322, NM_032882, Paraneoplastic Ma antigens, 25578, PNMAL1, paraneoplastic Ma antigen family-like 1, Approved,KIAA1183L, FLJ10781,19q13.32, BC026026, NM_018215, Paraneoplastic Ma antigens, 29206, PNMAL2, paraneoplastic Ma antigen family-like 2, Approved,KIAA1183,19q13.32, AB033009, NM_020709, Paraneoplastic Ma antigens, 9160, PNMT, phenylethanolamine N-methyltransferase, PENT, 17q12,NM_002686,9162, PNN, pinin, desmosome associated protein, Approved,memA,14q21.1, U77718, NM_002687,32790, PNO1, partner of NOB1 homolog, KHRBP1, RRP20, "RNA binding protein", 2p14, AF164799, NM_020143,9163, PNOC, prepronociceptin, Approved,PPNOC, N/OFQ, NOP, "nocistatin", "orphanin FQ", 8p21,NM_006228, Endogenous ligands, 7892, PNP, purine nucleoside phosphorylase, NP, PUNP,14q11.2,NM_000270.2,21246, PNPLA1, patatin like phospholipase domain containing 1, Approved,FLJ38755, dJ50J22.1,6p21.31,NM_173676, Patatin-like phospholipase domain containing, 30802, PNPLA2, patatin like phospholipase domain containing 2, Approved,desnutrin, TTS-2.2, ATGL, FP17548, iPLA2zeta,11p15.5, AJ278475, NM_020376, Patatin-like phospholipase domain containing|Lipases, 18590, PNPLA3, patatin like phospholipase domain containing 3, C22orf20, ADPN, dJ796I17.1, FLJ22012, adiponutrin, iPLA2epsilon,22q13.31,NM_025225, Patatin-like phospholipase domain containing|Lipases, 24887, PNPLA4, patatin like phospholipase domain containing 4, Approved,DXS1283E, GS2, iPLA2eta,Xp22.3, U03886, NM_004650, Patatin-like phospholipase domain containing, 24888, PNPLA5, patatin like phospholipase domain containing 5, Approved,dJ388M5.4, GS2L,22q13.31, Z97055, NM_138814, Patatin-like phospholipase domain containing, 16268, PNPLA6, patatin like phospholipase domain containing 6, Approved,NTE, sws, iPLA2delta, SPG39, "neuropathy target esterase", 19p13.2, AJ004832, NM_006702, Patatin-like phospholipase domain containing, 24768, PNPLA7, patatin like phospholipase domain containing 7, C9orf111, FLJ43070, FLJ31318, FLJ44279, RP11-48C7.2, NTEL1, NTE-R1,9q34.3, AK126267, NM_152286, Patatin-like phospholipase domain containing, 28900, PNPLA8, patatin like phospholipase domain containing 8, Approved,IPLA2G, IPLA2-2, iPLA2gamma,7q31, AF217519, NM_015723, Patatin-like phospholipase domain containing, 30260, PNPO, pyridoxamine 5-phosphate oxidase	undefined	DNA repair protein (GO:0003685)	undefined	FHA	nucleus; nucleolus	nucleus
PNLDC1	undefined	undefined	Molecular function unknown (GO:0005554)	membrane protein	undefined	undefined	undefined
PNLIP	undefined	undefined	Lipase activity (GO:0016298)	undefined	LH2	undefined	plasma.membrane
PNLIPRP1	undefined	undefined	Lipase activity (GO:0016298)	undefined	LH2	undefined	plasma.membrane
PNLIPRP2	undefined	undefined	Lipase activity (GO:0016298)	undefined	LH2	undefined	undefined
PNLIPRP3	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	LH2	undefined	undefined
PNMA1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
PNMA2	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNMA3	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	ZnF_C2HC	undefined	undefined
PNMA5	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNMA6A	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNMA6B	undefined	undefined	undefined	undefined	undefined	undefined	undefined
PNMAL1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNMAL2	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNMT	undefined	undefined	Methyltransferase activity (GO:0008168)	methyltransferase	undefined	cytosol	undefined
PNN	undefined	undefined	Cell adhesion molecule activity (GO:0005194)	transcription regulator	undefined	nucleus; splicing; cytoskeleton; filament; plasma membrane	cytoskeleton
PNO1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	KH	nucleus; nucleolus	nucleus
PNOC	undefined	undefined	Receptor binding (GO:0005102)	undefined	undefined	undefined	plasma.membrane
PNP	undefined	undefined	Phosphorylase activity (GO:0004645)	undefined	undefined	cytosol	plasma.membrane
PNPLA1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNPLA10P	undefined	undefined	undefined	undefined	undefined	undefined	undefined
PNPLA2	undefined	undefined	Hydrolase activity (GO:0016787)	membrane protein	TM	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
PNPLA3	undefined	undefined	Acyltransferase activity (GO:0008415)	membrane protein	undefined	nucleus; endoplasmic reticulum	ER.Golgi
PNPLA4	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNPLA5	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PNPLA6	undefined	undefined	Hydrolase activity (GO:0016787)	membrane protein	TM	undefined	undefined
PNPLA7	undefined	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM, CNMP	undefined	undefined
PNPLA8	undefined	undefined	Phospholipase activity (GO:0004620)	membrane protein	undefined	nucleus; endoplasmic reticulum	ER.Golgi
PNPO	undefined	undefined	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; cytosol	plasma.membrane
PNPT1	polyribonucleotide nucleotidyltransferase 1	undefined	Exonuclease activity (GO:0004527)	RNA processing protein	KH, S1	mitochondria	mitochondria.metabolism
PNRC1	proline rich nuclear receptor coactivator 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
PNRC2	proline rich nuclear receptor coactivator 2	undefined	Receptor binding (GO:0005102)	transcription regulator	undefined	RNA-associated; nucleus	RNA.associated
POC1A	POC1 centriolar protein A	WD repeat domain containing	undefined	undefined	undefined	cytoskeleton; microtubules	cytoskeleton
POC1B	POC1 centriolar protein B	WD repeat domain containing	undefined	undefined	undefined	cytoskeleton; microtubules	cytoskeleton
POC5	POC5 centriolar protein	undefined	undefined	undefined	undefined	cytoskeleton; microtubules	cytoskeleton
PODN	podocan	Small leucine-rich repeat proteoglycans	Molecular function unknown (GO:0005554)	undefined	LRR	undefined	plasma.membrane
PODNL1	podocan-like 1	undefined	Molecular function unknown (GO:0005554)	undefined	LRR	undefined	undefined
PODXL	podocalyxin like	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane	plasma.membrane
PODXL2	podocalyxin like 2	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane	plasma.membrane
POF1B	premature ovarian failure, 1B	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
POFUT1	protein O-fucosyltransferase 1	Fucosyltransferases	Transferase activity (GO:0016740)	undefined	TM	endoplasmic reticulum	ER.Golgi
POFUT2	protein O-fucosyltransferase 2	Fucosyltransferases	Fucosyltransferase activity (GO:0008417)	undefined	undefined	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
POGK	pogo transposable element with KRAB domain	Helix-turn-helix CENPB type domain containing	Molecular function unknown (GO:0005554)	undefined	KRAB	undefined	undefined
POGLUT1	protein O-glucosyltransferase 1	Glycosyltransferase family 90	undefined	undefined	undefined	endoplasmic reticulum	ER.Golgi
POGZ	pogo transposable element with ZNF domain	Helix-turn-helix CENPB type domain containing	Transcription regulator activity (GO:0030528)	transcription factor	ZNFC2	nucleus; chromatin	nucleus
POLA1	polymerase (DNA directed), alpha 1, catalytic subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	DNA-associated; replication; RNA-associated; nucleus; nucleolus; chromatin	RNA.associated
POLA2	polymerase (DNA directed), alpha 2, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLB	polymerase (DNA directed), beta	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	HHH	nucleus; cytoskeleton; microtubules	cytoskeleton
POLD1	polymerase (DNA directed), delta 1, catalytic subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	DNA-associated; nucleus	nucleus
POLD2	polymerase (DNA directed), delta 2, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLD3	polymerase (DNA-directed), delta 3, accessory subunit	Polymerases, DNA-directed|Protein phosphatase 1 regulatory subunits	DNA repair protein (GO:0003685)	undefined	undefined	DNA-associated; replication; nucleus; chromatin	nucleus
POLD4	polymerase (DNA-directed), delta 4, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLDIP2	polymerase (DNA-directed), delta interacting protein 2	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
POLDIP3	polymerase (DNA-directed), delta interacting protein 3	RNA binding motif containing	RNA binding (GO:0003723)	RNA processing protein	RRM	nucleus	nucleus
POLE	polymerase (DNA directed), epsilon, catalytic subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	DNA-associated; replication; nucleus; chromatin; plasma membrane	plasma.membrane
POLE2	polymerase (DNA directed), epsilon 2, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	DNA-associated; replication; nucleus; chromatin	nucleus
POLE3	polymerase (DNA directed), epsilon 3, accessory subunit	Polymerases, DNA-directed|ATAC complex	DNA binding (GO:0003677)	undefined	undefined	DNA-associated; replication; nucleus; chromatin; histones; transcription	RNA.associated
POLE4	polymerase (DNA-directed), epsilon 4, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	DNA-associated; replication; nucleus; chromatin; histones; transcription	RNA.associated
POLG	polymerase (DNA directed), gamma	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus; mitochondria	plasma.membrane
POLG2	polymerase (DNA directed), gamma 2, accessory subunit	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus; chromatin; mitochondria	plasma.membrane
POLH	polymerase (DNA directed), eta	Xeroderma pigmentosum complementation groups	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLI	polymerase (DNA directed) iota	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLK	polymerase (DNA directed) kappa	Polymerases, DNA-directed	DNA repair protein (GO:0003685)	undefined	HHH, ZnF_C2HC	nucleus	nucleus
POLL	polymerase (DNA directed), lambda	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	HHH, BRCT	nucleus	nucleus
POLM	polymerase (DNA directed), mu	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	BRCT	nucleus	nucleus
POLN	polymerase (DNA directed) nu	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	undefined	nucleus	nucleus
POLQ	polymerase (DNA directed), theta	Polymerases, DNA-directed	DNA-directed DNA polymerase activity (GO:0003887)	undefined	DEXDc, HELIC	nucleus; chromatin	nucleus
POLR1A	polymerase (RNA) I polypeptide A	RNA polymerase subunits	DNA-directed RNA polymerase activity (GO:0003899)	transcription regulator	undefined	nucleus; nucleolus	nucleus
POLR1B	polymerase (RNA) I polypeptide B	RNA polymerase subunits	DNA-directed RNA polymerase activity (GO:0003899)	transcription regulator	PHD	nucleus; nucleolus	nucleus
POLR1C	polymerase (RNA) I polypeptide C	RNA polymerase subunits	DNA-directed RNA polymerase activity (GO:0003899)	transcription regulator	RPOLD	DNA-associated; RNA-associated; nucleus; nucleolus; cytosol	RNA.associated
POLR1D	polymerase (RNA) I polypeptide D	RNA polymerase subunits	DNA-directed RNA polymerase activity (GO:0003899)	undefined	undefined	nucleus; cytosol	nucleus
POLR1E	polymerase (RNA) I polypeptide E	RNA polymerase subunits	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
